,City,Country,Temperature,Max Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
347,Ternate,ID,83.71,83.71,72,47,3.8,0.8,127.4
348,Kathmandu,NP,44.6,44.6,93,75,3.44,27.7167,85.3167
349,Kāvali,IN,65.19,65.19,80,67,4.07,14.9167,79.9833
350,Asău,RO,43.0,43.0,61,100,5.1,46.4333,26.4
351,Soto la Marina,MX,73.99,73.99,87,0,3.0,23.7667,-98.2167
352,Grand Gaube,MU,73.99,73.99,83,21,3.0,-20.0064,57.6608
353,Trud,BG,45.37,51.01,100,75,4.61,42.2333,24.7333
354,Northam,GB,31.51,32.0,76,92,8.99,51.0333,-4.2167
355,Naze,JP,60.8,60.8,63,75,8.05,28.3667,129.4833
356,Leningradskiy,RU,-25.56,-25.56,83,0,11.05,69.3833,178.4167
357,Praxédis Guerrero,MX,68.49,69.8,12,1,11.5,31.3667,-106.0167
358,Wagga Wagga,AU,75.99,77.0,50,0,9.22,-35.1167,147.3667
359,Baymak,RU,-4.34,-4.34,85,90,3.53,52.5933,58.3225
360,Nabire,ID,86.83,86.83,61,24,3.09,-3.3667,135.4833
